ID,seq_num,name,parent_group,Group_name,Label_name,Form_name,C_code,C_type,C_required,C_pattern,patterndesgin,parent_component_ID,date_modify,date_create,disable,label_icon,field_encry,required_error,patern_error
1,1,id,NULL,userloginID,User,insertform,S11,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
2,2,emailuser,NULL,NULL,Email,insertform,I12,input,1,1,[a-zA-Z0-9.!#$%&amp;’*+/=?^_`{|}~-]+@[a-zA-Z0-9-]+(?:.[a-zA-Z0-9-]+)+,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
3,3,emailPrimary,NULL,NULL,Primary,insertform,S13,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
4,4,id,NULL,datastatusID,Email Status,insertform,S14,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
5,5,button,NULL,NULL,submit,insertform,B15,button,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
6,1,username,NULL,userloginID,userloginID,table1,L26,label,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
7,2,emailuser,NULL,NULL,emailuser,table1,I27,input,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
8,3,emailPrimary,NULL,NULL,emailPrimary,table1,S28,select,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
9,4,id,NULL,datastatusID,datastatusID,table1,S29,select,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
10,5,button,NULL,NULL,update,table1,B210,button,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
11,6,button,NULL,NULL,delete,table1,B211,button,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
12,1,id,NULL,userloginID,User,insertform,S312,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
13,2,phoneNo,NULL,NULL,phoneNo,insertform,I313,input,1,1,"^[0-9]{1,12}$",3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
14,3,telePrimary,NULL,NULL,Primary,insertform,S314,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
15,4,id,NULL,datastatusID,telephone Status,insertform,S315,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
16,5,button,NULL,NULL,submit,insertform,B316,button,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
17,1,username,NULL,userloginID,userloginID,table1,L417,label,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
18,2,phoneNo,NULL,NULL,phoneNo,table1,I418,input,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
19,3,telePrimary,NULL,NULL,telePrimary,table1,S419,select,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
20,4,id,NULL,datastatusID,datastatusID,table1,S420,select,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
21,5,button,NULL,NULL,update,table1,B421,button,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
22,6,button,NULL,NULL,delete,table1,B422,button,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
